;Fase;Banco;Tipo.de.tronadura;Tipo.Material;M;Dominio.Estructural;Diametro;B;S;Tiempo.entre.Pozos..MS.;TIEMPO.ENTRE.FILAS..MS.;Fc;Tipo.Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota
87;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,2;0,5;0,9;1,8;3;4;5,2;6,3;8,5;12,2;59186,8;90442,8;2975
88;Stage 4;2975;Tronadura 1;Roca 2;L1;Noreste;10,625;7,5;9;11;105;341;K;0,51;0,87;1,22;1,65;2,36;3,11;4,09;5,31;7,44;12,99;59417,1;89698,9;2975
89;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,43;0,79;1,14;1,65;2,4;3,43;4,53;6,06;8,07;12,87;59203,7;90341,6;2975
90;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,24;0,55;0,94;1,57;2,68;3,66;4,76;5,87;7,95;11,77;59197;90364,1;2975
91;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,9448824;1,3385834;1,8503947;2,4409462;3,0314977;3,6220492;4,2913409;5,4330738;5,7874047;8,7007921;59217;90345;2975
92;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;500;L;0,393701;0,7086618;1,2598432;2,0472452;2,6377967;3,5826791;4,4881914;5,3543336;5,7480346;6,692917;59329;90132;2975
93;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;462;J;0,6692917;1,181103;2,0866153;2,9133874;3,5826791;4,4094512;4,8031522;5,511814;7,1653582;8,661422;59419;90038;2975
94;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;468;J;0,3149608;0,7086618;1,5354339;2,362206;3,149608;3,8582698;4,724412;6,0629954;9,2519735;13,4645742;59266;90610;2975
95;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,8267721;0,9055123;1,6929143;3,0708678;3,8976399;4,5669316;5,0787429;5,7086645;7,086618;10,3149662;59226;90322;2975
96;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;465;J;0,8267721;1,2204731;1,6535442;2,2440957;3,0314977;4,0944904;5,1968532;6,5354366;8,8976426;14,2913463;59056;90820;2975
97;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,8661422;1,2598432;1,9291349;2,5196864;3,2677183;3,8582698;4,6456718;5,8267748;7,3228386;9,1338632;59242;90322;2975
98;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;465;J;0,4724412;0,7086618;0,9448824;1,4960638;2,7165369;3,7401595;5,0787429;6,2204758;8,3070911;9,8031549;59002;90821;2975
99;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,4330711;0,6299216;0,9842525;2,2440957;3,4645688;4,3700811;5,118113;5,5905542;7,5590592;8,5826818;59247;90353;2975
100;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;467;J;0,6692917;1,2992133;2,2440957;3,2677183;3,9763801;4,8031522;5,4330738;6,4566964;7,480319;11,2992187;59235;90756;2975
101;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;509;L;0,5118113;0,8267721;1,4173236;2,0866153;2,9527575;3,6220492;4,6063017;5,6692944;7,0078778;9,4094539;59245;90376;2975
102;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;467;J;0,3149608;0,6299216;1,0236226;1,7716545;2,8346472;3,7401595;4,7637821;6,3779562;8,661422;12,992133;59255;90809;2975
103;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;477;L;0,3149608;0,7086618;1,1417329;1,6535442;2,4409462;3,3070884;4,2913409;5,5905542;7,3622087;13,0708732;59245;94230;2975
104;Stage 2;3590;Tronadura 1;Roca 2;L1;Norte;10,625;10;12,5;11;105;228;F;0,5118113;0,787402;1,1023628;1,4173236;1,8897648;2,5590565;3,543309;4,3700811;5,7480346;12,0866207;58929;91727;3590
105;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;484;J;0,1;0,4;0,7;1,4;2,5;3,8;4,8;6,3;9;12;59404,9;90067,1;2975
106;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;463;J;0,1;0,4;0,6;1,2;2,5;3,7;4,6;6;7,2;12;58855,1;90786,3;2975
107;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;484;J;0,12;0,35;0,59;1,02;2,01;3,15;4,53;6,14;8,27;13,03;59170,4;90532,1;2975
108;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;492;K;0,35;0,55;0,98;2,13;3,58;4,25;5,35;6,22;7,68;10,67;59169,28;90532,41;2960
109;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;484;J;0,1;0,2;0,4;0,8;2,1;3,5;4,9;6,5;8,3;11,9;59389,9;90160,9;2975
110;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;492;L;0,1;0,3;0,4;1,6;2,9;3,7;5;6,3;8,9;11,2;59165;90590,8;2960
111;Stage 4;2975;Tronadura 1;Roca 2;L1;Noreste;10,625;7,5;9;11;105;341;K;0,1;0,4;0,6;1;1,7;2,6;3,8;5,1;7,6;13,4;59421,4;89674,8;2975
112;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;463;J;0,2;0,5;0,8;1,1;2,1;3,4;4,5;6,3;8,3;12,8;58845,8;90787,1;2975
113;Stage 4;2975;Tronadura 1;Roca 2;L1;Noreste;10,625;7,5;9;11;105;341;K;0,1;0,4;0,7;1,4;2,6;3,7;4,4;5,3;6,5;11,1;59416,8;89627,5;2975
114;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;463;J;0,2;0,6;0,9;1,3;2;3,3;4,6;6,1;7,8;16,7;58882,9;90781,4;2975
115;Stage 4;2975;Tronadura 1;Roca 2;L1;Noreste;10,625;7,5;9;11;105;341;K;0,3;0,6;0,9;1,3;1,8;2,6;3,8;5,2;7,6;10,9;59400,2;89660,6;2975
116;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;492;L;0,2;0,5;0,8;1,1;1,8;2,9;4,4;6,1;8,2;14,4;59149,6;90656,4;2960
117;Stage 4;2975;Tronadura 1;Roca 2;L1;Noreste;10,625;7,5;9;11;105;341;K;0,31;0,6;0,8;1,1;1,61;2,64;3,98;5,31;7,48;11,81;59396,2;89608,3;2975
118;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;492;L;0,4;0,5;0,8;1,5;2,5;3,6;4,8;6;7,9;10;59142,5;90671,4;2960
119;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;492;L;0,2755907;0,4724412;0,7086618;1,3385834;2,4015761;3,4251987;4,6063017;5,905515;8,1889808;10,1968559;59166;90699;2960
120;Stage 4;2975;Tronadura 1;Roca 2;L1;Sureste;10,625;7,5;9;11;105;244;F;0,3543309;0,5511814;0,7480319;1,1023628;1,6535442;2,5590565;3,8188997;5,2755934;6,8897675;9,2519735;59384;89537;2975
121;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;484;B;0,5118113;0,7480319;1,1023628;1,574804;2,2047256;3,0708678;4,0157502;5,7874047;7,9133901;13,3070938;59166;90726;2960
122;Stage 2;3560;Tronadura 2;Roca 2;L8;Norte;12,25;8,5;9,5;9;94;395;F;0,5118113;0,7086618;0,9448824;1,2598432;1,6141741;2,1259854;2,6771668;3,5826791;5,3149635;10,2755961;59168;91755;3560
124;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;484;B;0,5118113;1,2598432;2,1259854;2,6771668;3,1102379;3,6614193;4,330711;5,2755934;6,692917;11,7322898;59062,8;90742,6;2960
125;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;349;K;0,4724412;0,9448824;2,1653555;3,3858286;4,2519708;5,0000027;5,905515;6,4566964;8,7007921;10,1968559;58805,6;90784,6;2975
126;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;349;K;0,4724412;0,7480319;0,9448824;1,968505;2,9133874;3,7401595;4,8031522;6,2598459;9,5669343;11,0629981;59179;90180;2975
128;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;479;J;1,3779535;2,4015761;3,1102379;3,6220492;4,2126007;4,9606326;5,7874047;6,299216;7,4409489;8,4645715;59158;90845;2975
129;Stage 4;2975;Tronadura 1;Roca 2;L1;Sureste;7,875;5,5;5,5;17;120;272;J;0,5905515;1,2204731;1,8897648;2,2834658;2,8346472;3,3070884;4,0157502;4,6850419;5,511814;8,5433117;59238;89481;2975
130;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;465;J;0,4724412;1,1417329;2,2047256;3,1102379;3,7795296;4,4881914;5,4330738;6,4960665;7,7952798;11,9685104;59207;90211;2960
131;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,6299216;1,2992133;2,0472452;2,6771668;3,1889781;3,7007894;4,2519708;4,8031522;5,905515;10,5905569;59056;90833;2975
132;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;465;B;0,5118113;0,8661422;1,9291349;2,5590565;3,0708678;3,543309;4,4094512;5,7874047;6,8897675;8,5433117;59024;90720;2960
133;Stage 2;3560;Tronadura 2;Roca 2;L1;Norte;12,25;7,5;8,5;9;94;404;K;0,4724412;0,6692917;0,9448824;1,2992133;1,7322844;2,2834658;2,9133874;3,7401595;5,4330738;9,3307137;58989;91572;2975
134;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;K;0,43;0,79;1,06;1,61;2,52;3,74;4,84;6,34;8,54;19,53;59192,1;90225,1;2960
135;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;479;J;0,2;0,63;0,98;1,5;2,36;3,62;5,08;6,61;8,43;14,92;59121,4;29855,1;2975
136;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;465;B;0,51;0,91;1,26;1,61;2,13;2,99;4,17;5,91;8,35;15,08;59012,6;90737,6;2960
137;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,59;0,94;1,3;1,73;2,48;3,43;4,37;5,63;8,66;12,83;59181,3;90272,8;2960
138;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;463;B;0,39;0,71;1,02;1,5;2,2;3,35;4,69;6,3;8,43;13,98;59282,6;89935,3;2960
139;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;465;B;0,67;0,94;1,26;1,57;2,13;2,91;3,94;5,51;7,44;14,69;58976,1;90735,1;2960
140;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,59;0,98;1,46;1,97;2,8;3,62;4,61;5,79;7,48;14,25;59221,4;90205,4;2960
141;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;463;B;0,35;0,67;0,98;1,46;2,32;3,39;4,65;6,18;9,02;18,46;59298,3;89935,4;2960
142;Stage 4;2960;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;465;B;0,67;1,1;1,5;1,97;2,76;3,58;4,53;5,91;7,36;14,8;59981,6;90763,4;2960
143;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,55;0,94;1,3;1,73;2,36;3,23;4,17;5,39;7,6;13,11;59198,9;90286,2;2960
144;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;463;B;0,28;0,55;0,79;1,22;2,05;3,19;4,49;6,22;8,46;14,53;59314,2;89912,1;2960
145;Stage 2;3560;Tronadura 2;Roca 2;L8;Norte;10,625;9,5;11;17;150;196;K;0,59;0,79;1,02;1,3;1,65;2,28;3,54;4,69;6,1;9,61;58910,4;91534,4;3560
146;Stage 2;3560;Tronadura 2;Roca 1;L7;Norte;10,625;7;7,5;5;87;472;J;0,71;0,94;1,26;1,77;2,68;3,82;5,08;6,65;8,27;13,46;58947,4;91502,2;3560
147;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;479;J;0,28;0,63;1,06;1,57;2,28;3,27;4,33;6,06;8,66;18,62;59204,1;90856,9;2975
148;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,31;0,67;1,06;1,54;2,4;3,46;4,65;5,91;7,99;13,39;59179,4;90294,5;2960
149;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;463;B;0,55;0,87;1,26;1,77;2,52;3,43;4,53;6,14;8,11;19,41;59237,4;89915,2;2960
150;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;479;J;0,59;0,98;1,3;1,69;2,36;3,31;4,37;5,98;10;16,93;59250,05;90875,3;2975
151;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;488;L;0,71;1,02;1,34;1,77;2,32;3,03;4,02;5,67;7,72;13,39;59190,5;90293,2;2960
152;Stage 4;2960;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;463;B;0,51;0,87;1,18;1,5;1,97;2,64;3,58;5,83;7,72;16,54;59338,9;89876,8;2960
